time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1780493400,134.46,138.18,129.85,130.95,130.95,0,0,0,0
1780507800,130.91,132.06,126.36,126.53,126.53,0,0,0,0
1780579800,126.9,131.47,125.65,127.22,127.22,0,0,0,0
1780594200,127.26,131.34,126.275,129.33,129.33,0,0,0,0
1780666200,124.19,125.3,115.8,117.17,117.17,0,0,0,0
1780680600,117.18,121.13,114.31,120.57,120.57,0,0,0,0
1780925400,125.73,128.99,123.16,127.11,127.11,0,0,0,0
1780939800,127.12,128.75,126.35,127.195,127.195,0,0,0,0
1781011800,122.98,125.55,114.21,117.28,117.28,0,0,0,0
1781026200,117.24,118.5,115.64,117.02,117.02,0,0,0,0
1781098200,116.32,120.79,115.45,117.5,117.5,0,0,0,0
1781112600,117.51,117.69,115.245,115.35,115.35,0,0,0,0
1781184600,116.28,118.8,113.28,115.1,115.1,0,0,0,0
1781199000,116.03,121.1,114.74,120.2,120.2,0,0,0,0
1781271000,119.43,128.6,117.28,123.401,123.401,0,0,0,0
1781285400,123.46,124.24,122.52,123.97,123.97,0,0,0,0
1781530200,133.22,136.25,130.62,133.54,133.54,0,0,0,0
1781544600,133.59,134.86,130.88,131.16,131.16,0,0,0,0
1781616600,129.28,131.69,124.15,124.275,124.275,0,0,0,0
1781631000,124.2,126.05,122.52,122.86,122.86,0,0,0,0
1781703000,123.01,125.31,120.61,124.27,124.27,0,0,0,0
1781717400,124.3,124.32,116.41,116.44,116.44,0,0,0,0
1781789400,117.68,117.86,107.85,109.02,109.02,0,0,0,0
1781803800,108.99,113.81,108.3,112.41,112.41,0,0,0,0
1782135000,116.15,120,109.44,109.72,109.72,0,0,0,0
1782149400,109.71,110.64,107.33,109.45,109.45,0,0,0,0
1782221400,106.65,107.75,104.82,105.75,105.75,0,0,0,0
1782235800,105.77,106.2,103.52,103.88,103.88,0,0,0,0
1782307800,102.55,102.95,92.81,93.45,93.45,0,0,0,0
1782322200,93.41,96.4,92.28,94.16,94.16,0,0,0,0
1782394200,94.62,94.76,85,86.31,86.31,0,0,0,0
1782408600,86.35,87.9,85.32,85.34,85.34,0,0,0,0
1782480600,83.23,87.67,82.33,85.02,85.02,0,0,0,0
1782495000,85.05,85.17,81.81,82.16,82.16,0,0,0,0
1782739800,85.55,93.4,82.74,92.65,92.65,0,0,0,0
1782754200,92.62,94.37,91.47,92.57,92.57,0,0,0,0
1782826200,86.2,88.25,83.42,85.24,85.24,0,0,0,0
1782840600,85.25,87.83,84.55,86.925,86.925,0,0,0,0
1782912600,87.695,98.46,86.23,98.3,98.3,0,0,0,0
1782927000,98.29,98.51,93.37,93.39,93.39,0,0,0,0
1782999000,99.84,104.1,97.6,100.75,100.75,0,0,0,0
1783013400,100.71,101.5,99.09,100.77,100.77,0,0,0,0
1783344600,95.135,104.74,94.62,103.36,103.36,0,0,0,0
1783359000,103.39,103.54,100.01,100.75,100.75,0,0,0,0
1783431000,101.1,103.56,96.96,101.57,101.57,0,0,0,0
1783445400,101.69,102.09,97.23,97.32,97.32,0,0,0,0
1783517400,93.755,94.91,91.85,94.86,94.86,0,0,0,0
1783531800,94.9,95.03,93.64,93.83,93.83,0,0,0,0
1783603800,93.73,96.79,92.86,95.01,95.01,0,0,0,0
1783618200,95.05,96.18,93.84,93.85,93.85,0,0,0,0
1783690200,98.6,100.12,93.59,94.12,94.12,0,0,0,0
1783704600,94.11,94.95,93.36,94.62,94.62,0,0,0,0
1783949400,91.49,93.66,90.02,91.52,91.52,0,0,0,0
1783963800,91.55,92.75,91.13,92.12,92.12,0,0,0,0
1784035800,94.91,98.04,93.6,95.7,95.7,0,0,0,0
1784050200,95.74,97.98,95.625,97.6,97.6,0,0,0,0
1784122200,100.09,101.94,96.8,98.69,98.69,0,0,0,0
1784136600,98.73,98.97,96.37,97.4,97.4,0,0,0,0
1784208600,95.99,96.6,93.45,94.24,94.24,0,0,0,0
1784223000,94.26,95.56,93.6,94.03,94.03,0,0,0,0
1784295000,91.19,95.88,90.06,95.22,95.22,0,0,0,0
1784309400,95.21,95.47,93.69,94.83,94.83,0,0,0,0
1784554200,95.42,100.01,94.87,99.74,99.74,0,0,0,0
1784568600,99.77,100.7,96.96,97.79,97.79,0,0,0,0
1784640600,101.3,104.6,100.32,101.44,101.44,0,0,0,0
1784655000,101.45,102.08,99.95,101.93,101.93,0,0,0,0
1784727000,100.06,101.95,98.12,99.95,99.95,0,0,0,0
1784741400,99.96,100.42,99.3,99.98,99.98,0,0,0,0
1784813400,97.12,97.51,92.33,94.07,94.07,0,0,0,0
1784827800,94.01,95.16,93.33,93.64,93.64,0,0,0,0
1784899800,93.25,93.67,89.76,93.23,93.23,0,0,0,0
1784914200,93.22,93.44,91.62,91.7,91.7,0,0,0,0
1785159000,94.59,98.74,94.07,98.2,98.2,0,0,0,0
1785173400,98.15,99.14,97.55,98.66,98.66,0,0,0,0
1785245400,95.46,98.365,93.14,97.5,97.5,0,0,0,0
1785259800,97.45,97.45,95.45,96.17,96.17,0,0,0,0
1785331800,96.43,98.15,94.66,96.09,96.09,0,0,0,0
1785346200,96.04,100.05,93.28,93.39,93.39,0,0,0,0
1785418200,95.07,97.39,94.35,96.25,96.25,0,0,0,0
